
. Module name, SLE, CFG, ARI1, BUFFER, MACC, RAM1K18, RAM64X18, GLOBAL, IO
.	.	.	.	.	.	. b9_O2yyf_fG2_x_17_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_18_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_19_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_20_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_21_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_22_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_23_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_24_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_25_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_26_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_27_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_28_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_29_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_30_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_31_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_32_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_33_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_34_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_35_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_36_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_37_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_38_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_39_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	.	. b9_O2yyf_fG2_x_40_0, 0, 1, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_0_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_100_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_101_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_102_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_103_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_104_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_105_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_106_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_107_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_108_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_109_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_10_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_110_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_111_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_112_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_113_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_114_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_115_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_116_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_117_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_118_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_119_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_11_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_120_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_121_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_122_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_123_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_124_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_125_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_126_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_127_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_128_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_129_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_12_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_130_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_131_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_132_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_133_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_134_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_135_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_136_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_137_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_138_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_139_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_13_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_140_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_141_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_142_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_143_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_144_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
.	.	.	.	.	. b8_1LbcQDr1_x_145_0, 0, 5, 0, 0, 0, 0, 0, 0, 0
